Date,Home,Away,Time,TV
Friday 18 October 2024,Pittsburgh Penguins,Carolina Hurricanes,19:00,
Friday 18 October 2024,Winnipeg Jets,San Jose Sharks,20:00,
Friday 18 October 2024,Colorado Avalanche,Anaheim Ducks,21:00,
Saturday 19 October 2024,Ottawa Senators,Tampa Bay Lightning,13:00,
Saturday 19 October 2024,Nashville Predators,Detroit Red Wings,14:00,
Saturday 19 October 2024,Dallas Stars,Edmonton Oilers,16:00,
Saturday 19 October 2024,Florida Panthers,Vegas Golden Knights,18:00,
Saturday 19 October 2024,Toronto Maple Leafs,New York Rangers,19:00,
Saturday 19 October 2024,New Jersey Devils,Washington Capitals,19:00,
Saturday 19 October 2024,New York Islanders,Montreal Canadiens,19:00,
Saturday 19 October 2024,Philadelphia Flyers,Vancouver Canucks,19:00,
Saturday 19 October 2024,Columbus Blue Jackets,Minnesota Wild,19:00,
Saturday 19 October 2024,St. Louis Blues,Carolina Hurricanes,19:00,
Saturday 19 October 2024,Chicago Blackhawks,Buffalo Sabres,20:00,
Saturday 19 October 2024,Utah Jazz,Boston Bruins,21:00,
Saturday 19 October 2024,Seattle Kraken,Calgary Flames,22:00,
Sunday 20 October 2024,Winnipeg Jets,Pittsburgh Penguins,15:00,
Sunday 20 October 2024,San Jose Sharks,Colorado Avalanche,16:00,
Sunday 20 October 2024,Anaheim Ducks,Los Angeles Kings,20:00,
Monday 21 October 2024,Toronto Maple Leafs,Tampa Bay Lightning,19:30,
Tuesday 22 October 2024,Philadelphia Flyers,Washington Capitals,18:00,
Tuesday 22 October 2024,Florida Panthers,Minnesota Wild,18:30,
Tuesday 22 October 2024,New Jersey Devils,Tampa Bay Lightning,18:45,
Tuesday 22 October 2024,Buffalo Sabres,Dallas Stars,19:00,
Tuesday 22 October 2024,Montreal Canadiens,New York Rangers,19:15,
Tuesday 22 October 2024,Columbus Blue Jackets,Toronto Maple Leafs,19:30,
Tuesday 22 October 2024,New York Islanders,Detroit Red Wings,19:45,
Tuesday 22 October 2024,St. Louis Blues,Winnipeg Jets,20:00,
Tuesday 22 October 2024,Chicago Blackhawks,Vancouver Canucks,20:15,
Tuesday 22 October 2024,Nashville Predators,Boston Bruins,20:30,
Tuesday 22 October 2024,Calgary Flames,Pittsburgh Penguins,20:45,
Tuesday 22 October 2024,Edmonton Oilers,Carolina Hurricanes,21:00,
Tuesday 22 October 2024,Utah Jazz,Ottawa Senators,21:15,
Tuesday 22 October 2024,Anaheim Ducks,San Jose Sharks,21:45,
Tuesday 22 October 2024,Seattle Kraken,Colorado Avalanche,22:30,
Tuesday 22 October 2024,Vegas Golden Knights,Los Angeles Kings,23:00,
Wednesday 23 October 2024,Washington Capitals,Philadelphia Flyers,19:30,
Thursday 24 October 2024,Boston Bruins,Dallas Stars,19:00,
Thursday 24 October 2024,Toronto Maple Leafs,St. Louis Blues,19:00,
Thursday 24 October 2024,Detroit Red Wings,New Jersey Devils,19:00,
Thursday 24 October 2024,Tampa Bay Lightning,Minnesota Wild,19:00,
Thursday 24 October 2024,New York Rangers,Florida Panthers,19:00,
Thursday 24 October 2024,Calgary Flames,Carolina Hurricanes,21:00,
Thursday 24 October 2024,Utah Jazz,Colorado Avalanche,21:00,
Thursday 24 October 2024,Seattle Kraken,Winnipeg Jets,22:00,
Thursday 24 October 2024,Los Angeles Kings,San Jose Sharks,22:30,
Friday 25 October 2024,Vegas Golden Knights,Ottawa Senators,18:00,
Friday 25 October 2024,New Jersey Devils,New York Islanders,19:00,
