Date,Home,Away,Time,TV
Friday 23 August 2024,Melbourne,Collingwood,19:40,7plus
Friday 23 August 2024,Geelong Cats,West Coast Eagles,13:45,Foxtel
Saturday 24 August 2024,Richmond,Gold Coast SUNS,14:10,Foxtel
Saturday 24 August 2024,Hawthorn,North Melbourne,16:40,Foxtel
Saturday 24 August 2024,Brisbane Lions,Essendon,19:30,Foxtel
Saturday 24 August 2024,Sydney Swans,Adelaide Crows,19:40,7plus
Saturday 24 August 2024,Western Bulldogs,GWS GIANTS,12:30,Foxtel
Sunday 25 August 2024,Carlton,St Kilda,15:20,7plus
Sunday 25 August 2024,Fremantle,Port Adelaide,18:10,Foxtel
