Thursday 9 January 2024,Dallas Mavericks,Portland Trail Blazers,20:30,NBA League Pass
Thursday 9 January 2024,Phoenix Suns,Atlanta Hawks,21:00,NBA League Pass
Thursday 9 January 2024,Utah Jazz,Miami Heat,21:00,NBA League Pass
Thursday 9 January 2024,Los Angeles Lakers,Charlotte Hornets,22:30,NBA League Pass
Friday 10 January 2024,Indiana Pacers,Golden State Warriors,19:00,NBA League Pass
Friday 10 January 2024,Orlando Magic,Milwaukee Bucks,19:00,NBA League Pass
Friday 10 January 2024,Philadelphia 76ers,New Orleans Pelicans,19:00,NBATV
Friday 10 January 2024,Boston Celtics,Sacramento Kings,19:30,NBA League Pass
Friday 10 January 2024,New York Knicks,Oklahoma City Thunder,19:30,NBA League Pass
Friday 10 January 2024,Chicago Bulls,Washington Wizards,20:00,NBA League Pass
Friday 10 January 2024,Denver Nuggets,Brooklyn Nets,21:00,NBA League Pass
Saturday 11 January 2024,Atlanta Hawks,Houston Rockets,15:00,NBA League Pass
Saturday 11 January 2024,Phoenix Suns,Utah Jazz,17:00,NBA League Pass
Saturday 11 January 2024,Detroit Pistons,Toronto Raptors,19:00,NBA League Pass
Saturday 11 January 2024,Minnesota Timberwolves,Memphis Grizzlies,20:00,NBA League Pass
Saturday 11 January 2024,Portland Trail Blazers,Miami Heat,22:00,NBA League Pass
Saturday 11 January 2024,Los Angeles Lakers,San Antonio Spurs,22:30,NBA League Pass
Saturday 11 January 2024,LA Clippers,Charlotte Hornets,22:30,NBA League Pass
Sunday 12 January 2024,New York Knicks,Milwaukee Bucks,15:00,NBA League Pass
Sunday 12 January 2024,Dallas Mavericks,Denver Nuggets,15:00,NBA League Pass
Sunday 12 January 2024,Chicago Bulls,Sacramento Kings,15:30,NBA League Pass
Sunday 12 January 2024,Boston Celtics,New Orleans Pelicans,18:00,NBA League Pass
Sunday 12 January 2024,Cleveland Cavaliers,Indiana Pacers,18:00,NBA League Pass
Sunday 12 January 2024,Orlando Magic,Philadelphia 76ers,18:00,NBA League Pass
Sunday 12 January 2024,Washington Wizards,Oklahoma City Thunder,18:00,NBA League Pass
Sunday 12 January 2024,Utah Jazz,Brooklyn Nets,20:00,NBA League Pass
Sunday 12 January 2024,Phoenix Suns,Charlotte Hornets,21:00,NBA League Pass
Monday 13 January 2024,Washington Wizards,Minnesota Timberwolves,19:00,NBA League Pass
Monday 13 January 2024,New York Knicks,Detroit Pistons,19:30,NBA League Pass
Monday 13 January 2024,Toronto Raptors,Golden State Warriors,19:30,NBA League Pass
Monday 13 January 2024,Houston Rockets,Memphis Grizzlies,20:00,NBATV
Monday 13 January 2024,Los Angeles Lakers,San Antonio Spurs,22:30,NBATV
Monday 13 January 2024,LA Clippers,Miami Heat,22:30,NBA League Pass
Tuesday 14 January 2024,Philadelphia 76ers,Oklahoma City Thunder,19:00,NBA League Pass
Tuesday 14 January 2024,Indiana Pacers,Cleveland Cavaliers,19:00,TNT
Tuesday 14 January 2024,Atlanta Hawks,Phoenix Suns,19:30,NBA League Pass
Tuesday 14 January 2024,Chicago Bulls,New Orleans Pelicans,20:00,NBA League Pass
Tuesday 14 January 2024,Milwaukee Bucks,Sacramento Kings,20:00,NBA League Pass
Tuesday 14 January 2024,Dallas Mavericks,Denver Nuggets,21:30,TNT
Tuesday 14 January 2024,Portland Trail Blazers,Brooklyn Nets,22:00,NBA League Pass
Wednesday 15 January 2024,Toronto Raptors,Boston Celtics,19:30,NBA League Pass
Wednesday 15 January 2024,Chicago Bulls,Atlanta Hawks,20:00,NBA League Pass
Wednesday 15 January 2024,Milwaukee Bucks,Orlando Magic,20:00,NBA League Pass
Wednesday 15 January 2024,Minnesota Timberwolves,Golden State Warriors,20:00,NBA League Pass
Wednesday 15 January 2024,New Orleans Pelicans,Dallas Mavericks,20:00,NBA League Pass
Wednesday 15 January 2024,San Antonio Spurs,Memphis Grizzlies,20:00,NBA League Pass
Wednesday 15 January 2024,Philadelphia 76ers,New York Knicks,19:30,ESPN
Wednesday 15 January 2024,Denver Nuggets,Houston Rockets,21:00,NBA League Pass
Wednesday 15 January 2024,Utah Jazz,Charlotte Hornets,21:00,NBA League Pass
Wednesday 15 January 2024,Los Angeles Lakers,Miami Heat,22:00,ESPN
Wednesday 15 January 2024,LA Clippers,Brooklyn Nets,22:30,NBA League Pass
Thursday 16 January 2024,Detroit Pistons,Indiana Pacers,19:00,NBA League Pass
Thursday 16 January 2024,Washington Wizards,Phoenix Suns,19:30,TNT
Thursday 16 January 2024,Oklahoma City Thunder,Cleveland Cavaliers,20:00,NBA League Pass
Thursday 16 January 2024,Sacramento Kings,Houston Rockets,22:00,TNT
Thursday 16 January 2024,Portland Trail Blazers,LA Clippers,22:00,NBA League Pass
Friday 17 January 2024,Boston Celtics,Orlando Magic,19:00,ESPN
Friday 17 January 2024,New York Knicks,Minnesota Timberwolves,19:30,NBA League Pass
Friday 17 January 2024,Miami Heat,Denver Nuggets,20:00,NBA League Pass
Friday 17 January 2024,Milwaukee Bucks,Toronto Raptors,20:00,NBA League Pass
Friday 17 January 2024,New Orleans Pelicans,Utah Jazz,20:00,NBA League Pass
Friday 17 January 2024,San Antonio Spurs,Memphis Grizzlies,20:00,NBA League Pass
Friday 17 January 2024,Dallas Mavericks,Oklahoma City Thunder,20:30,NBA League Pass
Friday 17 January 2024,Chicago Bulls,Charlotte Hornets,21:30,ESPN
Friday 17 January 2024,Los Angeles Lakers,Brooklyn Nets,22:30,NBA League Pass
Saturday 18 January 2024,Detroit Pistons,Phoenix Suns,17:00,NBA League Pass
Saturday 18 January 2024,Boston Celtics,Atlanta Hawks,19:00,NBA League Pass
